Scientific name,Name status,Group,Source database
"Amathia  imbricata    (Adams, 1798)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  imbricata  aralensis  (Abrikosov, 1959)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  imbricata  caspia  (Abrikosov, 1959)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  intermedis    Chimonides, 1987","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  lamourouxi    Chimonides, 1987","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  lendigera    (Linnaeus, 1758)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  maxima    (Winston, 1982)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  minoricensis    Souto, Fernández-Pulpeiro & Reverter-Gil, 2010","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  minutissima    (Jullien, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  obliqua    MacGillivray, 1895","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  pinnata    Kirkpatrick, 1888","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  plumosa    MacGillivray, 1890","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  populea    d'Hondt, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  pruvoti    Calvet, 1911","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  pustulosa    (Ellis & Solander, 1786)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  pustulosa  alternata  Waters, 1918","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  rudis    Kubanin, 1992","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  scoparia    Meneghini, 1844","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  semiconvoluta    Lamouroux, 1824","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  semispiralis    Kirchenpauer, 1869","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  stationis    (Ostroumoff, 1886)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  tortuosa    Tenison-Woods, 1880","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  tricornis    Busk ms in Chimonides, 1987","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  unilateralis    Lamouroux, 1816","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  vermetiformis    Harmer, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  verticillata    (Delle Chiaje, 1822)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  vidovici    (Heller, 1867)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  wilsoni    Kirkpatrick, 1888","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  woodsii    (Goldstein, 1879)","accepted name","Animalia","WoRMS Bryozoa"
